City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Araouane,18.9048,-3.5265,93.96,25,67,9.17,ML,2021-09-25 00:42:39
181,Keetmanshoop,-26.5833,18.1333,68.92,14,53,2.55,NA,2021-09-25 00:42:40
182,Crotone,39.0851,17.1178,68.22,66,0,3.44,IT,2021-09-25 00:42:40
183,Cozumel,20.5083,-86.9458,84.18,84,100,1.01,MX,2021-09-25 00:42:41
184,Kabansk,52.0486,106.6528,45.09,95,100,5.37,RU,2021-09-25 00:42:41
185,Kamenka,51.3223,42.7678,46.33,82,94,7.58,RU,2021-09-25 00:42:41
186,Birjand,32.8663,59.2211,63.16,9,0,6.46,IR,2021-09-25 00:42:42
187,Komsomolskiy,40.4272,71.7189,59.72,44,0,6.91,UZ,2021-09-25 00:42:42
188,Osorno,-40.5667,-73.15,53.91,82,0,2.3,CL,2021-09-25 00:42:43
189,Veraval,20.9,70.3667,79.18,84,5,7.36,IN,2021-09-25 00:42:43
190,Dakar,14.6937,-17.4441,82.53,74,20,11.5,SN,2021-09-25 00:42:37
191,Inongo,-1.95,18.2667,68.85,92,93,2.21,CD,2021-09-25 00:42:44
192,Jumla,29.2747,82.1838,58.98,93,100,3.38,NP,2021-09-25 00:42:44
193,Dryden,49.7833,-92.7503,52.09,58,90,9.22,CA,2021-09-25 00:42:39
194,Arica,-18.475,-70.3042,59.23,82,0,2.3,CL,2021-09-25 00:39:32
195,Blackfoot,43.1905,-112.345,76.78,24,0,2.64,US,2021-09-25 00:42:45
196,Hokitika,-42.7167,170.9667,55.62,96,100,22.75,NZ,2021-09-25 00:42:03
197,Port Stanley,-51.7,-57.85,52.09,77,100,25.19,FK,2021-09-25 00:40:32
198,Voh,-20.9667,164.7,79.86,47,20,6.33,NC,2021-09-25 00:42:45
199,Pilot Butte,50.4668,-104.4178,58.73,28,40,9.22,CA,2021-09-25 00:42:46
200,Kloulklubed,7.0419,134.2556,81.1,83,100,22.03,PW,2021-09-25 00:42:46
201,Santa Fe,-31.6333,-60.7,61.75,76,0,7.9,AR,2021-09-25 00:41:01
202,Porto Novo,6.4965,2.6036,78.62,88,100,5.14,BJ,2021-09-25 00:42:47
203,Lensk,60.7253,114.9278,41.13,77,100,10.6,RU,2021-09-25 00:42:47
204,Havre-Saint-Pierre,50.2334,-63.5986,53.96,87,90,12.66,CA,2021-09-25 00:42:47
205,Ratnagiri,16.9833,73.3,75.74,91,96,4.99,IN,2021-09-25 00:42:48
206,Clyde River,70.4692,-68.5914,28.11,73,17,4.23,CA,2021-09-25 00:42:48
207,Kamennogorsk,60.9545,29.1339,44.83,89,100,7.34,RU,2021-09-25 00:42:48
208,Tilichiki,60.4667,166.1,43.68,42,98,6.33,RU,2021-09-25 00:42:49
209,Ixtapa,20.7,-105.2,85.23,79,100,1.99,MX,2021-09-25 00:40:34
210,Buchanan,5.8808,-10.0467,77.14,86,84,5.68,LR,2021-09-25 00:42:49
211,Mar Del Plata,-38.0023,-57.5575,56.08,59,0,1.01,AR,2021-09-25 00:42:49
212,Fortuna,40.5982,-124.1573,69.91,65,1,1.01,US,2021-09-25 00:42:50
213,Souillac,-20.5167,57.5167,70.36,88,75,17.27,MU,2021-09-25 00:42:50
214,Chegdomyn,51.1167,133.0167,54.99,62,100,1.72,RU,2021-09-25 00:42:51
215,Turukhansk,65.8167,87.9833,29.82,87,13,9.98,RU,2021-09-25 00:42:51
216,Bestobe,52.4994,73.0975,38.91,63,99,8.5,KZ,2021-09-25 00:42:52
217,Hervey Bay,-25.2986,152.8535,75.31,70,8,11.01,AU,2021-09-25 00:42:52
218,Bengkulu,-3.8004,102.2655,77.74,86,90,3.0,ID,2021-09-25 00:42:52
219,Iquitos,-3.7481,-73.2472,77.04,88,20,1.14,PE,2021-09-25 00:42:53
220,Sibu,2.3,111.8167,77.31,88,40,5.01,MY,2021-09-25 00:42:53
221,Aasiaat,68.7098,-52.8699,16.9,90,80,5.64,GL,2021-09-25 00:41:05
222,Kahului,20.8947,-156.47,87.82,56,1,27.63,US,2021-09-25 00:42:54
223,Lichinga,-13.3128,35.2406,59.09,72,0,9.22,MZ,2021-09-25 00:42:54
224,Honningsvag,70.9821,25.9704,46.51,86,100,17.65,NO,2021-09-25 00:41:19
225,Bambous Virieux,-20.3428,57.7575,70.21,88,75,17.27,MU,2021-09-25 00:41:48
226,Marawi,7.9986,124.2928,74.64,78,100,0.98,PH,2021-09-25 00:42:54
227,Balykshi,47.0667,51.8667,53.6,82,40,17.9,KZ,2021-09-25 00:42:55
228,Ca Mau,9.1769,105.15,79.83,84,100,3.74,VN,2021-09-25 00:42:55
229,Maniitsoq,65.4167,-52.9,32.81,55,2,4.43,GL,2021-09-25 00:40:53
230,Mwene-Ditu,-7.0,23.45,65.16,83,13,3.44,CD,2021-09-25 00:42:56
231,Ritchie,-29.038,24.6028,58.21,23,10,2.53,ZA,2021-09-25 00:42:56
232,Hun,29.1268,15.9477,73.11,63,0,7.67,LY,2021-09-25 00:42:57
233,Sibolga,1.7427,98.7792,79.81,82,100,1.45,ID,2021-09-25 00:42:57
234,Pisco,-13.7,-76.2167,62.65,82,0,10.36,PE,2021-09-25 00:42:57
235,Hojo,33.9766,132.7777,75.34,73,20,5.75,JP,2021-09-25 00:42:58
236,Sur,22.5667,59.5289,82.58,71,100,5.55,OM,2021-09-25 00:42:58
237,Benguela,-12.5763,13.4055,72.52,81,9,6.55,AO,2021-09-25 00:42:59
238,Tautira,-17.7333,-149.15,82.42,63,0,6.46,PF,2021-09-25 00:42:59
239,Santiago,-33.4569,-70.6483,66.85,46,0,17.27,CL,2021-09-25 00:42:59
240,Hasaki,35.7333,140.8333,73.8,72,69,18.21,JP,2021-09-25 00:39:14
241,Itoman,26.1247,127.6694,86.02,79,40,12.66,JP,2021-09-25 00:43:00
242,Sao Jose Dos Pinhais,-25.5347,-49.2064,60.37,88,90,5.75,BR,2021-09-25 00:38:12
243,Tandil,-37.3217,-59.1332,55.31,73,69,7.38,AR,2021-09-25 00:43:00
244,Zagorje Ob Savi,46.1318,14.9969,56.39,88,0,3.56,SI,2021-09-25 00:43:01
245,Kaeo,-35.1,173.7833,67.32,66,0,9.31,NZ,2021-09-25 00:43:01
246,Ugep,5.8086,8.0812,71.69,98,100,2.55,NG,2021-09-25 00:43:01
